[2015-01-10 07:31:07  - Info ] Inicio test: MON_3 fichero: 300000.txt en colección: coleccion_300000
[2015-01-10 07:31:07  - Info ] Número de ocurrencias encontradas: 22953
[2015-01-10 07:31:07  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:07  - Info ] Inicio test: MON_4 fichero: 300000.txt en colección: coleccion_300000
[2015-01-10 07:31:12  - Info ] Número de ocurrencias encontradas: 0
[2015-01-10 07:31:12  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:12  - Info ] Inicio test: MON_5 fichero: 300000.txt en colección: coleccion_300000
[2015-01-10 07:31:12  - Info ] Número de ocurrencias encontradas: 1
[2015-01-10 07:31:12  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:12  - Info ] Inicio test: MON_6 fichero: 300000.txt en colección: coleccion_300000
[2015-01-10 07:31:12  - Info ] Número de ocurrencias encontradas: 1550
[2015-01-10 07:31:13  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:13  - Info ] Inicio test: MON_7 fichero: 300000.txt en colección: coleccion_300000
[2015-01-10 07:31:13  - Info ] Número de ocurrencias encontradas: 1737
[2015-01-10 07:31:13  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:13  - Info ] Inicio test: MON_8 fichero: 300000.txt en colección: coleccion_300000
[2015-01-10 07:31:13  - Info ] Número de ocurrencias encontradas: 44043
[2015-01-10 07:31:13  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:13  - Info ] Inicio test: MON_1 fichero: 400000.txt en colección: coleccion_400000
[2015-01-10 07:31:16  - Info ] Número de ocurrencias encontradas: 97350
[2015-01-10 07:31:16  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:16  - Info ] Inicio test: MON_2 fichero: 400000.txt en colección: coleccion_400000
[2015-01-10 07:31:19  - Info ] Número de ocurrencias encontradas: 302262
[2015-01-10 07:31:19  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:19  - Info ] Inicio test: MON_3 fichero: 400000.txt en colección: coleccion_400000
[2015-01-10 07:31:19  - Info ] Número de ocurrencias encontradas: 30770
[2015-01-10 07:31:19  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:19  - Info ] Inicio test: MON_4 fichero: 400000.txt en colección: coleccion_400000
[2015-01-10 07:31:22  - Info ] Número de ocurrencias encontradas: 0
[2015-01-10 07:31:22  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:22  - Info ] Inicio test: MON_5 fichero: 400000.txt en colección: coleccion_400000
[2015-01-10 07:31:22  - Info ] Número de ocurrencias encontradas: 2
[2015-01-10 07:31:22  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:22  - Info ] Inicio test: MON_6 fichero: 400000.txt en colección: coleccion_400000
[2015-01-10 07:31:22  - Info ] Número de ocurrencias encontradas: 2009
[2015-01-10 07:31:22  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:22  - Info ] Inicio test: MON_7 fichero: 400000.txt en colección: coleccion_400000
[2015-01-10 07:31:22  - Info ] Número de ocurrencias encontradas: 2370
[2015-01-10 07:31:22  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:22  - Info ] Inicio test: MON_8 fichero: 400000.txt en colección: coleccion_400000
[2015-01-10 07:31:23  - Info ] Número de ocurrencias encontradas: 59035
[2015-01-10 07:31:23  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:23  - Info ] Inicio test: MON_1 fichero: 500000.txt en colección: coleccion_500000
[2015-01-10 07:31:27  - Info ] Número de ocurrencias encontradas: 121226
[2015-01-10 07:31:27  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:27  - Info ] Inicio test: MON_2 fichero: 500000.txt en colección: coleccion_500000
[2015-01-10 07:31:32  - Info ] Número de ocurrencias encontradas: 378231
[2015-01-10 07:31:32  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:32  - Info ] Inicio test: MON_3 fichero: 500000.txt en colección: coleccion_500000
[2015-01-10 07:31:32  - Info ] Número de ocurrencias encontradas: 38038
[2015-01-10 07:31:32  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:32  - Info ] Inicio test: MON_4 fichero: 500000.txt en colección: coleccion_500000
[2015-01-10 07:31:36  - Info ] Número de ocurrencias encontradas: 0
[2015-01-10 07:31:36  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:36  - Info ] Inicio test: MON_5 fichero: 500000.txt en colección: coleccion_500000
[2015-01-10 07:31:36  - Info ] Número de ocurrencias encontradas: 0
[2015-01-10 07:31:36  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:36  - Info ] Inicio test: MON_6 fichero: 500000.txt en colección: coleccion_500000
[2015-01-10 07:31:36  - Info ] Número de ocurrencias encontradas: 2433
[2015-01-10 07:31:36  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:36  - Info ] Inicio test: MON_7 fichero: 500000.txt en colección: coleccion_500000
[2015-01-10 07:31:36  - Info ] Número de ocurrencias encontradas: 2943
[2015-01-10 07:31:37  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:37  - Info ] Inicio test: MON_8 fichero: 500000.txt en colección: coleccion_500000
[2015-01-10 07:31:40  - Info ] Número de ocurrencias encontradas: 73208
[2015-01-10 07:31:40  - Info ] Registro actualizado correctamente
[2015-01-10 07:31:40  - Info ] Inicio test: MON_1 fichero: 600000.txt en colección: coleccion_600000
[2015-01-10 07:32:39  - Info ] Número de ocurrencias encontradas: 145206
[2015-01-10 07:32:39  - Info ] Registro actualizado correctamente
[2015-01-10 07:32:39  - Info ] Inicio test: MON_2 fichero: 600000.txt en colección: coleccion_600000
[2015-01-10 07:32:44  - Info ] Número de ocurrencias encontradas: 454181
[2015-01-10 07:32:44  - Info ] Registro actualizado correctamente
[2015-01-10 07:32:44  - Info ] Inicio test: MON_3 fichero: 600000.txt en colección: coleccion_600000
[2015-01-10 07:32:44  - Info ] Número de ocurrencias encontradas: 45504
[2015-01-10 07:32:44  - Info ] Registro actualizado correctamente
[2015-01-10 07:32:44  - Info ] Inicio test: MON_4 fichero: 600000.txt en colección: coleccion_600000
[2015-01-10 07:32:48  - Info ] Número de ocurrencias encontradas: 0
[2015-01-10 07:32:48  - Info ] Registro actualizado correctamente
[2015-01-10 07:32:48  - Info ] Inicio test: MON_5 fichero: 600000.txt en colección: coleccion_600000
[2015-01-10 07:32:48  - Info ] Número de ocurrencias encontradas: 3
[2015-01-10 07:32:48  - Info ] Registro actualizado correctamente
[2015-01-10 07:32:48  - Info ] Inicio test: MON_6 fichero: 600000.txt en colección: coleccion_600000
[2015-01-10 07:32:48  - Info ] Número de ocurrencias encontradas: 2941
[2015-01-10 07:32:48  - Info ] Registro actualizado correctamente
[2015-01-10 07:32:48  - Info ] Inicio test: MON_7 fichero: 600000.txt en colección: coleccion_600000
[2015-01-10 07:32:48  - Info ] Número de ocurrencias encontradas: 3393
[2015-01-10 07:32:49  - Info ] Registro actualizado correctamente
[2015-01-10 07:32:49  - Info ] Inicio test: MON_8 fichero: 600000.txt en colección: coleccion_600000
