[2015-01-24 10:47:05  - Info ] Inicio test base de datos MongoDB
[2015-01-24 10:47:06  - Info ] Inicio test: MON_1 fichero: 100000.txt en colección: coleccion_100000
[2015-01-24 10:47:07  - Info ] Número de ocurrencias encontradas: 24207
[2015-01-24 10:47:07  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:07  - Info ] Inicio test: MON_2 fichero: 100000.txt en colección: coleccion_100000
[2015-01-24 10:47:07  - Info ] Número de ocurrencias encontradas: 75695
[2015-01-24 10:47:07  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:07  - Info ] Inicio test: MON_3 fichero: 100000.txt en colección: coleccion_100000
[2015-01-24 10:47:07  - Info ] Número de ocurrencias encontradas: 7683
[2015-01-24 10:47:07  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:07  - Info ] Inicio test: MON_4 fichero: 100000.txt en colección: coleccion_100000
[2015-01-24 10:47:08  - Info ] Número de ocurrencias encontradas: 1
[2015-01-24 10:47:08  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:08  - Info ] Inicio test: MON_5 fichero: 100000.txt en colección: coleccion_100000
[2015-01-24 10:47:08  - Info ] Número de ocurrencias encontradas: 1
[2015-01-24 10:47:08  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:08  - Info ] Inicio test: MON_6 fichero: 100000.txt en colección: coleccion_100000
[2015-01-24 10:47:08  - Info ] Número de ocurrencias encontradas: 500
[2015-01-24 10:47:08  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:08  - Info ] Inicio test: MON_7 fichero: 100000.txt en colección: coleccion_100000
[2015-01-24 10:47:08  - Info ] Número de ocurrencias encontradas: 587
[2015-01-24 10:47:08  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:08  - Info ] Inicio test: MON_8 fichero: 100000.txt en colección: coleccion_100000
[2015-01-24 10:47:08  - Info ] Número de ocurrencias encontradas: 14729
[2015-01-24 10:47:08  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:08  - Info ] Inicio test: MON_1 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-24 10:47:18  - Info ] Número de ocurrencias encontradas: 242188
[2015-01-24 10:47:18  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:18  - Info ] Inicio test: MON_2 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-24 10:47:27  - Info ] Número de ocurrencias encontradas: 756818
[2015-01-24 10:47:27  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:27  - Info ] Inicio test: MON_3 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-24 10:47:27  - Info ] Número de ocurrencias encontradas: 76116
[2015-01-24 10:47:27  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:27  - Info ] Inicio test: MON_4 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-24 10:47:32  - Info ] Número de ocurrencias encontradas: 3
[2015-01-24 10:47:32  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:32  - Info ] Inicio test: MON_5 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-24 10:47:32  - Info ] Número de ocurrencias encontradas: 3
[2015-01-24 10:47:32  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:32  - Info ] Inicio test: MON_6 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-24 10:47:32  - Info ] Número de ocurrencias encontradas: 5109
[2015-01-24 10:47:32  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:32  - Info ] Inicio test: MON_7 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-24 10:47:33  - Info ] Número de ocurrencias encontradas: 5713
[2015-01-24 10:47:33  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:33  - Info ] Inicio test: MON_8 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-24 10:47:33  - Info ] Número de ocurrencias encontradas: 146718
[2015-01-24 10:47:33  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:33  - Info ] Inicio test: MON_1 fichero: 200000.txt en colección: coleccion_200000
[2015-01-24 10:47:34  - Info ] Número de ocurrencias encontradas: 48395
[2015-01-24 10:47:34  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:34  - Info ] Inicio test: MON_2 fichero: 200000.txt en colección: coleccion_200000
[2015-01-24 10:47:35  - Info ] Número de ocurrencias encontradas: 151420
[2015-01-24 10:47:35  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:35  - Info ] Inicio test: MON_3 fichero: 200000.txt en colección: coleccion_200000
[2015-01-24 10:47:35  - Info ] Número de ocurrencias encontradas: 15297
[2015-01-24 10:47:35  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:35  - Info ] Inicio test: MON_4 fichero: 200000.txt en colección: coleccion_200000
[2015-01-24 10:47:36  - Info ] Número de ocurrencias encontradas: 2
[2015-01-24 10:47:36  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:36  - Info ] Inicio test: MON_5 fichero: 200000.txt en colección: coleccion_200000
[2015-01-24 10:47:36  - Info ] Número de ocurrencias encontradas: 0
[2015-01-24 10:47:36  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:36  - Info ] Inicio test: MON_6 fichero: 200000.txt en colección: coleccion_200000
[2015-01-24 10:47:36  - Info ] Número de ocurrencias encontradas: 968
[2015-01-24 10:47:37  - Info ] Registro actualizado correctamente
[2015-01-24 10:47:37  - Info ] Inicio test: MON_7 fichero: 200000.txt en colección: coleccion_200000
