[2015-01-22 18:56:37  - Info ] Seleccionamos base de datos TFG.
[2015-01-22 18:56:37  - Info ] Creada coleccion.
[2015-01-22 18:56:37  - Info ] Inicio carga de datos.
[2015-01-22 18:56:37  - Info ] Creando índice.
[2015-01-22 18:56:37  - Info ] Creado índice.
[2015-01-22 18:57:29  - Info ] Fin carga de datos.
[2015-01-22 18:57:29  - Info ] Inicio creación índices.
[2015-01-22 18:57:32  - Info ] Fin creación índices.
[2015-01-22 18:58:03  - Info ] Nombre fichero seleccionado: 600000.txt
[2015-01-22 18:58:03  - Info ] Creada conexión a base de datos
[2015-01-22 18:58:03  - Info ] Seleccionamos base de datos TFG.
[2015-01-22 18:58:03  - Info ] Creada coleccion.
[2015-01-22 18:58:03  - Info ] Inicio carga de datos.
[2015-01-22 18:58:03  - Info ] Creando índice.
[2015-01-22 18:58:03  - Info ] Creado índice.
[2015-01-22 18:59:03  - Info ] Fin carga de datos.
[2015-01-22 18:59:03  - Info ] Inicio creación índices.
[2015-01-22 18:59:06  - Info ] Fin creación índices.
[2015-01-22 18:59:33  - Info ] Nombre fichero seleccionado: 700000.txt
[2015-01-22 18:59:33  - Info ] Creada conexión a base de datos
[2015-01-22 18:59:33  - Info ] Seleccionamos base de datos TFG.
[2015-01-22 18:59:33  - Info ] Creada coleccion.
[2015-01-22 18:59:33  - Info ] Inicio carga de datos.
[2015-01-22 18:59:33  - Info ] Creando índice.
[2015-01-22 18:59:33  - Info ] Creado índice.
[2015-01-22 19:00:44  - Info ] Fin carga de datos.
[2015-01-22 19:00:44  - Info ] Inicio creación índices.
[2015-01-22 19:00:48  - Info ] Fin creación índices.
[2015-01-22 19:01:45  - Info ] Nombre fichero seleccionado: 800000.txt
[2015-01-22 19:01:45  - Info ] Creada conexión a base de datos
[2015-01-22 19:01:45  - Info ] Seleccionamos base de datos TFG.
[2015-01-22 19:01:45  - Info ] Creada coleccion.
[2015-01-22 19:01:45  - Info ] Inicio carga de datos.
[2015-01-22 19:01:45  - Info ] Creando índice.
[2015-01-22 19:01:45  - Info ] Creado índice.
[2015-01-22 19:03:04  - Info ] Fin carga de datos.
[2015-01-22 19:03:04  - Info ] Inicio creación índices.
[2015-01-22 19:03:09  - Info ] Fin creación índices.
[2015-01-22 19:03:42  - Info ] Nombre fichero seleccionado: 900000.txt
[2015-01-22 19:03:42  - Info ] Creada conexión a base de datos
[2015-01-22 19:03:42  - Info ] Seleccionamos base de datos TFG.
[2015-01-22 19:03:42  - Info ] Creada coleccion.
[2015-01-22 19:03:42  - Info ] Inicio carga de datos.
[2015-01-22 19:03:42  - Info ] Creando índice.
[2015-01-22 19:03:42  - Info ] Creado índice.
[2015-01-22 19:05:11  - Info ] Fin carga de datos.
[2015-01-22 19:05:11  - Info ] Inicio creación índices.
[2015-01-22 19:05:17  - Info ] Fin creación índices.
[2015-01-22 19:06:18  - Info ] Nombre fichero seleccionado: 1000000.txt
[2015-01-22 19:06:18  - Info ] Creada conexión a base de datos
[2015-01-22 19:06:18  - Info ] Seleccionamos base de datos TFG.
[2015-01-22 19:06:18  - Info ] Creada coleccion.
[2015-01-22 19:06:18  - Info ] Inicio carga de datos.
[2015-01-22 19:06:18  - Info ] Creando índice.
[2015-01-22 19:06:18  - Info ] Creado índice.
[2015-01-22 19:07:59  - Info ] Fin carga de datos.
[2015-01-22 19:07:59  - Info ] Inicio creación índices.
[2015-01-22 19:08:05  - Info ] Fin creación índices.
[2015-01-22 19:16:44  - Info ] Inicio test base de datos MongoDB
[2015-01-22 19:16:45  - Info ] Inicio test: MON_1 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:16:45  - Info ] Número de ocurrencias encontradas: 24207
[2015-01-22 19:16:46  - Info ] Registro actualizado correctamente
[2015-01-22 19:16:46  - Info ] Inicio test: MON_2 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:16:46  - Info ] Número de ocurrencias encontradas: 75695
[2015-01-22 19:16:46  - Info ] Registro actualizado correctamente
[2015-01-22 19:16:46  - Info ] Inicio test: MON_3 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:16:46  - Info ] Número de ocurrencias encontradas: 7683
[2015-01-22 19:16:46  - Info ] Registro actualizado correctamente
[2015-01-22 19:16:46  - Info ] Inicio test: MON_4 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:16:48  - Info ] Número de ocurrencias encontradas: 1
[2015-01-22 19:16:48  - Info ] Registro actualizado correctamente
[2015-01-22 19:16:48  - Info ] Inicio test: MON_5 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:16:48  - Info ] Número de ocurrencias encontradas: 1
[2015-01-22 19:16:48  - Info ] Registro actualizado correctamente
[2015-01-22 19:16:48  - Info ] Inicio test: MON_6 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:16:48  - Info ] Número de ocurrencias encontradas: 500
[2015-01-22 19:16:48  - Info ] Registro actualizado correctamente
[2015-01-22 19:16:48  - Info ] Inicio test: MON_7 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:16:48  - Info ] Número de ocurrencias encontradas: 587
[2015-01-22 19:16:48  - Info ] Registro actualizado correctamente
[2015-01-22 19:16:48  - Info ] Inicio test: MON_8 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:16:49  - Info ] Número de ocurrencias encontradas: 14729
[2015-01-22 19:16:49  - Info ] Registro actualizado correctamente
[2015-01-22 19:16:49  - Info ] Inicio test: MON_1 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:16:57  - Info ] Número de ocurrencias encontradas: 242188
[2015-01-22 19:16:58  - Info ] Registro actualizado correctamente
[2015-01-22 19:16:58  - Info ] Inicio test: MON_2 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:17:06  - Info ] Número de ocurrencias encontradas: 756818
[2015-01-22 19:17:06  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:06  - Info ] Inicio test: MON_3 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:17:06  - Info ] Número de ocurrencias encontradas: 76116
[2015-01-22 19:17:06  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:06  - Info ] Inicio test: MON_4 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:17:12  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:17:12  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:12  - Info ] Inicio test: MON_5 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:17:12  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:17:12  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:12  - Info ] Inicio test: MON_6 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:17:12  - Info ] Número de ocurrencias encontradas: 5109
[2015-01-22 19:17:12  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:12  - Info ] Inicio test: MON_7 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:17:12  - Info ] Número de ocurrencias encontradas: 5713
[2015-01-22 19:17:12  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:12  - Info ] Inicio test: MON_8 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:17:12  - Info ] Número de ocurrencias encontradas: 146718
[2015-01-22 19:17:12  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:12  - Info ] Inicio test: MON_1 fichero: 200000.txt en colección: coleccion_200000
[2015-01-22 19:17:13  - Info ] Número de ocurrencias encontradas: 48395
[2015-01-22 19:17:13  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:13  - Info ] Inicio test: MON_2 fichero: 200000.txt en colección: coleccion_200000
